"","ID","Intervention","Lower_Bound_Mort_Reduction","Upper_Bound_Mort_Reduction","Lower_Bound_Cost_Estimate","Upper_Bound_Cost_Estimate","Per.Unit","Description","avg_effect","worse_case","best_case","range","avg_mort","avg_cost","Group"
"1",35," Incentives for Preventive Screenings  ",5,10,20,85,"incentive"," Offer rewards for policyholders who undergo preventive health screenings.                           ",0.142857142857143,0.0588235294117647,0.5,3.08823529411765,7.5,52.5,"Health Maintenance and Prevention"
"2",37," Cancer Prevention Initiatives        ",5,10,20,85,"initiative"," Provide resources and information on cancer prevention strategies.                                   ",0.142857142857143,0.0588235294117647,0.5,3.08823529411765,7.5,52.5,"Health Maintenance and Prevention"
"3",11," Incentives for Vaccinations         ",2,8,20,85,"incentive"," Encourage policyholders to stay up-to-date with vaccinations by offering incentives.               ",0.0952380952380952,0.0235294117647059,0.4,3.95294117647059,5,52.5,"Health Maintenance and Prevention"
"13",3," Smoking Cessation Programs          ",0,50,870,3485,"participant"," Resources and support for policyholders looking to quit smoking.                                    ",0.0114810562571757,0,0.0574712643678161,5.00574712643678,25,2177.5,"Health Maintenance and Prevention"
"14",27," Social Connection Initiatives        ",3,5,10,35,"social event"," Encourage social activities to foster a sense of community and reduce isolation.                    ",0.177777777777778,0.0857142857142857,0.5,2.33035714285714,4,22.5,"Lifestyle and Community"
"15",19," Community Fitness Challenges         ",2,5,10,35,"participant"," Organize community-based fitness challenges with rewards for participation.                        ",0.155555555555556,0.0571428571428571,0.5,2.8469387755102,3.5,22.5,"Lifestyle and Community"
"16",21," Online Health Resources             ",2,4,10,35,"participant"," Provide access to online health resources for information and support.                               ",0.133333333333333,0.0571428571428571,0.4,2.57142857142857,3,22.5,"Lifestyle and Community"
"17",23," Well-being Apps                      ",2,4,10,35,"app"," Recommend and support the use of apps focused on mental and physical well-being.                    ",0.133333333333333,0.0571428571428571,0.4,2.57142857142857,3,22.5,"Lifestyle and Community"
"18",38," Community Gardens                    ",2,4,10,35,"garden"," Support community gardens to promote access to fresh and healthy foods.                              ",0.133333333333333,0.0571428571428571,0.4,2.57142857142857,3,22.5,"Lifestyle and Community"
"19",47,"Art and Creativity Classes ",2,4,10,35,"class","Promote engagement in artistic and creative pursuits for mental well-being.",0.133333333333333,0.0571428571428571,0.4,2.57142857142857,3,22.5,"Lifestyle and Community"
"25",42," Parenting Support Services            ",2,4,10,35,"session"," Provide resources and support for parents to promote family well-being.                              ",0.133333333333333,0.0571428571428571,0.4,2.57142857142857,3,22.5,"Mental and Emotional Well-being"
"26",28," Holistic Stress Reduction            ",3,8,20,85,"session"," Promote holistic approaches to stress reduction, such as yoga and meditation.                        ",0.104761904761905,0.0352941176470588,0.4,3.48128342245989,5.5,52.5,"Mental and Emotional Well-being"
"27",41," Mindfulness Programs                  ",3,8,20,85,"session"," Introduce mindfulness and stress reduction programs.                                                ",0.104761904761905,0.0352941176470588,0.4,3.48128342245989,5.5,52.5,"Mental and Emotional Well-being"
"33",6," Healthy Eating Campaigns            ",2,4,10,35,"participant"," Promote healthy eating habits through educational campaigns and incentives.                        ",0.133333333333333,0.0571428571428571,0.4,2.57142857142857,3,22.5,"Physical Health and Wellness"
"34",24," Hydration Campaigns                  ",2,3,10,35,"campaign"," Promote the importance of staying hydrated for overall health.                                       ",0.111111111111111,0.0571428571428571,0.3,2.18571428571429,2.5,22.5,"Physical Health and Wellness"
"35",29," Financial Incentives for Healthy Behavior ",2,5,20,85,"incentive"," Offer premium discounts or cash rewards for maintaining healthy behaviors.                         ",0.0666666666666667,0.0235294117647059,0.25,3.39705882352941,3.5,52.5,"Physical Health and Wellness"
"44",14," Safety Campaigns                    ",3,5,10,35,"participant"," Educate policyholders on safety measures at home and in daily activities.                           ",0.177777777777778,0.0857142857142857,0.5,2.33035714285714,4,22.5,"Safety and Preparedness"
"45",25," Sun Safety Awareness                 ",2,4,10,35,"campaign"," Educate on sun safety to prevent skin cancer and other related conditions.                          ",0.133333333333333,0.0571428571428571,0.4,2.57142857142857,3,22.5,"Safety and Preparedness"
"46",32," Environmental Wellness               ",2,4,10,35,"campaign"," Promote awareness of environmental factors affecting health and well-being.                          ",0.133333333333333,0.0571428571428571,0.4,2.57142857142857,3,22.5,"Safety and Preparedness"
"47",43," Travel Safety Tips                    ",2,4,10,35,"campaign"," Educate policyholders on travel safety to reduce risks during trips.                                  ",0.133333333333333,0.0571428571428571,0.4,2.57142857142857,3,22.5,"Safety and Preparedness"
